id,maintenance_fund_id,year,amount,created_at,updated_at,fee_collection_type_id,how_collected,other_fee_type
290,386,1991,VARIES,2012-07-16 10:55:58,2012-07-16 10:55:58,425211171,,
291,387,2011,465.00,2012-07-16 10:55:58,2012-07-16 10:55:58,943965439,,
292,388,2011,345.00,2012-07-16 10:55:59,2012-07-16 10:55:59,943965439,,
293,389,2009,350.00,2012-07-16 10:55:59,2012-07-16 10:55:59,943965439,,
294,390,2011,460.00,2012-07-16 10:56:00,2012-07-16 10:56:00,943965439,,
295,391,2006,N/A,2012-07-16 10:56:00,2012-07-16 10:56:00,943965439,,
296,392,1991,NONE ASSESSED,2012-07-16 10:56:01,2012-07-16 10:56:01,425211171,,
297,393,2008,218.00,2012-07-16 10:56:02,2012-07-16 10:56:02,943965439,,
298,394,2009,176.00,2012-07-16 10:56:02,2012-07-16 10:56:02,425211171,,
299,395,1999,NONE ASSESSED,2012-07-16 10:56:03,2012-07-16 10:56:03,425211171,,
300,396,1992,NONE ASSESSED,2012-07-16 10:56:03,2012-07-16 10:56:03,425211171,,
301,397,2011,$600.00 p/qtr,2012-07-16 10:56:04,2012-07-16 10:56:04,956606308,,
302,398,1995,"1,000.00",2012-07-16 10:56:04,2012-07-16 10:56:04,86044396,,
303,399,2011,SEE BELOW,2012-07-16 10:56:05,2012-07-16 10:56:05,425211171,,
304,401,1991,N/A,2012-07-16 10:56:05,2012-07-16 10:56:05,425211171,,
305,402,2011,varies,2012-07-16 10:56:06,2012-07-16 10:56:06,943965439,,
306,403,2011,SEE BELOW,2012-07-16 10:56:06,2012-07-16 10:56:06,425211171,,
307,404,2002,280.00,2012-07-16 10:56:07,2012-07-16 10:56:07,943965439,,
308,405,2008,164.00 P/M,2012-07-16 10:56:08,2012-07-16 10:56:08,715507355,,
309,406,1992,NONE ASSESSED,2012-07-16 10:56:08,2012-12-05 16:56:57,425211171,,
310,408,2011,SEE BELOW,2012-07-16 10:56:09,2012-07-16 10:56:09,425211171,,
